Parameter,Wave,Buffer,Visualisation
0.000463,0.119350,39.304817,0.344291
0.001093,0.120720,40.188321,0.512973
0.001500,0.121628,48.754069,0.361179
0.001056,0.147849,48.411038,0.168127
0.000148,0.119794,29.844547,0.226626
0.000185,0.304255,39.371501,0.376845
0.000148,4.490741,44.580712,0.138646
0.000278,1.040242,39.088358,0.324420
0.000185,0.120165,37.998580,0.223700
0.000351,0.119776,37.696140,0.299606
0.000556,0.121813,49.363818,0.182979
0.000315,0.120331,39.619423,0.254348
0.000185,0.126424,37.398756,0.163478
0.000204,0.569157,39.383594,0.134220
0.000203,0.119776,48.465075,0.211590
0.000277,0.119683,38.690550,0.241589
0.000167,0.119683,39.370391,0.268570
0.000167,0.121109,49.844126,0.155275
0.000241,0.119609,50.225342,0.146350
0.000315,0.119276,28.625641,0.453993
0.000722,0.126831,39.773161,0.201127
0.000315,0.131258,48.650683,1.407922
0.000407,0.124072,37.780287,0.190756
0.000370,0.186922,38.861973,0.156479
0.000240,0.119683,40.484650,0.132517
0.000185,0.122332,47.840215,0.274829
0.000186,0.174923,39.589221,1.389959
0.000426,0.121961,37.714177,0.185849
0.000240,0.119795,39.450649,0.230941
0.000222,0.120572,50.038067,0.286273
0.000185,0.120406,37.490199,0.232274
0.000982,0.121036,42.170066,3.014691
0.000407,0.121869,44.413067,0.153349
0.000297,0.120128,48.603647,0.165960
0.000148,0.119665,29.922749,0.611490
0.000167,0.120350,39.502018,0.154312
0.000296,0.119109,51.605098,0.121942
0.000278,0.119387,36.924728,0.175090
0.000148,0.119832,39.454297,0.249107
0.000871,0.120665,39.418908,0.278310
0.000426,0.120072,49.769776,0.265662
0.000481,0.120628,39.352595,0.351032
0.000908,0.120998,38.764235,0.188220
0.000148,0.120016,39.574906,0.152590
0.000148,0.119665,49.747351,0.138665
0.000278,0.122257,40.261339,0.166886
0.000334,0.119979,39.256171,0.233274
0.000407,0.120739,49.281710,0.186071
0.000185,0.120442,48.907605,0.165015
0.000204,0.119980,29.552700,1.995967
0.000833,0.120479,36.763231,0.189571
0.000186,0.121664,50.460061,0.253570
0.000593,0.121313,36.609344,0.115665
0.000185,0.119923,39.495481,0.136850
0.000149,0.118980,39.328151,0.125832
0.000148,0.119720,47.792827,0.449455
0.000926,0.120516,34.391769,0.434159
0.000222,0.120443,36.118630,0.150238
0.000537,0.119590,38.650532,0.204293
0.000186,0.120590,48.653851,0.504270
0.000185,0.120480,35.736988,0.161701
0.000314,0.120090,34.536008,0.138609
0.000204,0.120017,37.653049,0.185256
0.000351,0.119646,49.788462,0.203441
0.002241,0.121369,31.933847,0.193182
0.000703,0.120628,38.431963,0.995039
